GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hw9,default,Barricade,35,188,7,9,9,49,8,9,1,8
hw9,default,RoamingMap,150,45,0,0,32,12,30,8,30,8
hw9,default,MatrixMap,0,198,0,12,0,41,0,20,0,14
hw9,default,MatrixMap.InvalidLengthException,0,28,0,2,0,9,0,5,0,4
hw9,default,Indexes,52,61,4,4,9,13,5,9,3,7
hw9,default,MatrixMap.InvalidLengthException.Cause,0,15,0,0,0,3,0,1,0,1
hw9,default,Barricade.StateRecoveryOptional,0,15,0,0,0,1,0,3,0,3
